23:37:02.023: Dealer 1: Auto 1 (Body: 1, Motor: 4, Accessory: 2)
00:27:55.418: Dealer 2: Auto 14 (Body: 67, Motor: 66, Accessory: 23)
00:27:55.438: Dealer 2: Auto 14 (Body: 67, Motor: 66, Accessory: 23)
00:27:56.431: Dealer 3: Auto 15 (Body: 72, Motor: 71, Accessory: 24)
00:27:56.445: Dealer 3: Auto 15 (Body: 72, Motor: 71, Accessory: 24)
00:27:57.427: Dealer 1: Auto 16 (Body: 78, Motor: 76, Accessory: 26)
00:27:57.437: Dealer 1: Auto 16 (Body: 78, Motor: 76, Accessory: 26)
00:27:58.433: Dealer 2: Auto 17 (Body: 83, Motor: 81, Accessory: 28)
00:27:58.453: Dealer 2: Auto 17 (Body: 83, Motor: 81, Accessory: 28)
00:27:59.437: Dealer 3: Auto 18 (Body: 88, Motor: 86, Accessory: 29)
00:27:59.458: Dealer 3: Auto 18 (Body: 88, Motor: 86, Accessory: 29)
00:28:00.439: Dealer 1: Auto 19 (Body: 93, Motor: 91, Accessory: 32)
00:28:00.450: Dealer 1: Auto 19 (Body: 93, Motor: 91, Accessory: 32)
00:28:01.443: Dealer 2: Auto 20 (Body: 98, Motor: 96, Accessory: 33)
00:28:01.467: Dealer 2: Auto 20 (Body: 98, Motor: 96, Accessory: 33)
00:28:02.448: Dealer 3: Auto 21 (Body: 103, Motor: 101, Accessory: 35)
00:28:02.452: Dealer 3: Auto 21 (Body: 103, Motor: 101, Accessory: 35)
00:28:03.450: Dealer 1: Auto 22 (Body: 108, Motor: 106, Accessory: 36)
00:28:03.454: Dealer 1: Auto 22 (Body: 108, Motor: 106, Accessory: 36)
00:28:04.455: Dealer 2: Auto 23 (Body: 114, Motor: 111, Accessory: 39)
00:28:04.461: Dealer 2: Auto 23 (Body: 114, Motor: 111, Accessory: 39)
00:28:05.459: Dealer 3: Auto 24 (Body: 119, Motor: 117, Accessory: 40)
00:28:05.468: Dealer 3: Auto 24 (Body: 119, Motor: 117, Accessory: 40)
00:28:06.465: Dealer 1: Auto 25 (Body: 124, Motor: 121, Accessory: 41)
00:28:06.486: Dealer 1: Auto 25 (Body: 124, Motor: 121, Accessory: 41)
00:28:07.466: Dealer 2: Auto 26 (Body: 129, Motor: 126, Accessory: 43)
00:28:07.479: Dealer 2: Auto 26 (Body: 129, Motor: 126, Accessory: 43)
00:28:08.471: Dealer 3: Auto 27 (Body: 132, Motor: 131, Accessory: 45)
00:28:08.481: Dealer 3: Auto 27 (Body: 132, Motor: 131, Accessory: 45)
00:28:09.476: Dealer 1: Auto 28 (Body: 136, Motor: 134, Accessory: 46)
00:28:09.488: Dealer 1: Auto 28 (Body: 136, Motor: 134, Accessory: 46)
00:28:10.481: Dealer 2: Auto 29 (Body: 139, Motor: 137, Accessory: 49)
00:28:10.484: Dealer 2: Auto 29 (Body: 139, Motor: 137, Accessory: 49)
00:28:11.482: Dealer 3: Auto 30 (Body: 140, Motor: 142, Accessory: 50)
00:28:11.487: Dealer 3: Auto 30 (Body: 140, Motor: 142, Accessory: 50)
00:28:12.485: Dealer 1: Auto 31 (Body: 145, Motor: 143, Accessory: 53)
00:28:12.490: Dealer 1: Auto 31 (Body: 145, Motor: 143, Accessory: 53)
00:28:13.488: Dealer 2: Auto 32 (Body: 147, Motor: 146, Accessory: 54)
00:28:13.491: Dealer 2: Auto 32 (Body: 147, Motor: 146, Accessory: 54)
00:28:14.490: Dealer 3: Auto 33 (Body: 149, Motor: 151, Accessory: 55)
00:28:14.507: Dealer 3: Auto 33 (Body: 149, Motor: 151, Accessory: 55)
00:28:15.495: Dealer 1: Auto 34 (Body: 152, Motor: 153, Accessory: 58)
00:28:15.503: Dealer 1: Auto 34 (Body: 152, Motor: 153, Accessory: 58)
00:28:16.496: Dealer 2: Auto 35 (Body: 155, Motor: 156, Accessory: 59)
00:28:16.506: Dealer 2: Auto 35 (Body: 155, Motor: 156, Accessory: 59)
00:28:17.501: Dealer 3: Auto 36 (Body: 160, Motor: 158, Accessory: 60)
00:28:17.509: Dealer 3: Auto 36 (Body: 160, Motor: 158, Accessory: 60)
00:28:18.504: Dealer 1: Auto 37 (Body: 162, Motor: 161, Accessory: 63)
00:28:18.518: Dealer 1: Auto 37 (Body: 162, Motor: 161, Accessory: 63)
00:28:19.508: Dealer 2: Auto 38 (Body: 165, Motor: 164, Accessory: 64)
00:28:19.531: Dealer 2: Auto 38 (Body: 165, Motor: 164, Accessory: 64)
00:28:20.509: Dealer 3: Auto 39 (Body: 167, Motor: 168, Accessory: 65)
00:28:20.520: Dealer 3: Auto 39 (Body: 167, Motor: 168, Accessory: 65)
00:28:21.513: Dealer 1: Auto 40 (Body: 170, Motor: 171, Accessory: 68)
00:28:21.516: Dealer 1: Auto 40 (Body: 170, Motor: 171, Accessory: 68)
00:28:22.517: Dealer 2: Auto 41 (Body: 174, Motor: 173, Accessory: 69)
00:28:22.562: Dealer 2: Auto 41 (Body: 174, Motor: 173, Accessory: 69)
00:28:23.522: Dealer 3: Auto 42 (Body: 177, Motor: 178, Accessory: 70)
00:28:23.533: Dealer 3: Auto 42 (Body: 177, Motor: 178, Accessory: 70)
00:28:24.527: Dealer 1: Auto 43 (Body: 180, Motor: 179, Accessory: 73)
00:28:24.535: Dealer 1: Auto 43 (Body: 180, Motor: 179, Accessory: 73)
00:28:25.532: Dealer 2: Auto 44 (Body: 182, Motor: 184, Accessory: 74)
00:28:25.536: Dealer 2: Auto 44 (Body: 182, Motor: 184, Accessory: 74)
00:28:26.541: Dealer 3: Auto 45 (Body: 185, Motor: 186, Accessory: 75)
00:28:26.545: Dealer 3: Auto 45 (Body: 185, Motor: 186, Accessory: 75)
00:28:27.545: Dealer 1: Auto 46 (Body: 189, Motor: 190, Accessory: 77)
00:28:27.550: Dealer 1: Auto 46 (Body: 189, Motor: 190, Accessory: 77)
00:28:28.550: Dealer 2: Auto 47 (Body: 191, Motor: 193, Accessory: 79)
00:28:28.551: Dealer 2: Auto 47 (Body: 191, Motor: 193, Accessory: 79)
00:28:29.554: Dealer 3: Auto 48 (Body: 194, Motor: 196, Accessory: 80)
00:28:29.561: Dealer 3: Auto 48 (Body: 194, Motor: 196, Accessory: 80)
00:28:30.571: Dealer 1: Auto 49 (Body: 198, Motor: 199, Accessory: 82)
00:28:30.582: Dealer 1: Auto 49 (Body: 198, Motor: 199, Accessory: 82)
00:28:31.568: Dealer 2: Auto 50 (Body: 201, Motor: 200, Accessory: 84)
00:28:31.574: Dealer 2: Auto 50 (Body: 201, Motor: 200, Accessory: 84)
00:28:32.588: Dealer 3: Auto 51 (Body: 205, Motor: 203, Accessory: 85)
00:28:32.604: Dealer 3: Auto 51 (Body: 205, Motor: 203, Accessory: 85)
00:28:33.585: Dealer 1: Auto 52 (Body: 208, Motor: 206, Accessory: 87)
00:28:33.590: Dealer 1: Auto 52 (Body: 208, Motor: 206, Accessory: 87)
00:28:34.590: Dealer 2: Auto 53 (Body: 210, Motor: 209, Accessory: 89)
00:28:34.595: Dealer 2: Auto 53 (Body: 210, Motor: 209, Accessory: 89)
00:28:35.590: Dealer 3: Auto 54 (Body: 214, Motor: 213, Accessory: 90)
00:28:35.594: Dealer 3: Auto 54 (Body: 214, Motor: 213, Accessory: 90)
00:28:36.596: Dealer 1: Auto 55 (Body: 216, Motor: 215, Accessory: 92)
00:28:36.602: Dealer 1: Auto 55 (Body: 216, Motor: 215, Accessory: 92)
00:28:37.602: Dealer 2: Auto 56 (Body: 218, Motor: 227, Accessory: 94)
00:28:37.608: Dealer 2: Auto 56 (Body: 218, Motor: 227, Accessory: 94)
00:28:37.699: Dealer 3: Auto 57 (Body: 219, Motor: 230, Accessory: 95)
00:28:37.703: Dealer 3: Auto 57 (Body: 219, Motor: 230, Accessory: 95)
00:28:37.803: Dealer 1: Auto 58 (Body: 220, Motor: 232, Accessory: 97)
00:28:37.805: Dealer 1: Auto 58 (Body: 220, Motor: 232, Accessory: 97)
00:28:38.626: Dealer 2: Auto 59 (Body: 221, Motor: 234, Accessory: 99)
00:28:38.637: Dealer 2: Auto 59 (Body: 221, Motor: 234, Accessory: 99)
00:28:38.707: Dealer 3: Auto 60 (Body: 222, Motor: 236, Accessory: 100)
00:28:38.708: Dealer 3: Auto 60 (Body: 222, Motor: 236, Accessory: 100)
00:28:38.812: Dealer 1: Auto 61 (Body: 223, Motor: 238, Accessory: 102)
00:28:38.821: Dealer 1: Auto 61 (Body: 223, Motor: 238, Accessory: 102)
00:28:39.643: Dealer 2: Auto 62 (Body: 224, Motor: 240, Accessory: 104)
00:28:39.657: Dealer 2: Auto 62 (Body: 224, Motor: 240, Accessory: 104)
00:28:39.713: Dealer 3: Auto 63 (Body: 225, Motor: 242, Accessory: 105)
00:28:39.717: Dealer 3: Auto 63 (Body: 225, Motor: 242, Accessory: 105)
00:28:39.826: Dealer 1: Auto 64 (Body: 226, Motor: 244, Accessory: 107)
00:28:39.837: Dealer 1: Auto 64 (Body: 226, Motor: 244, Accessory: 107)
00:28:40.669: Dealer 2: Auto 65 (Body: 229, Motor: 246, Accessory: 109)
00:28:40.680: Dealer 2: Auto 65 (Body: 229, Motor: 246, Accessory: 109)
00:28:40.720: Dealer 3: Auto 66 (Body: 231, Motor: 249, Accessory: 110)
00:28:40.724: Dealer 3: Auto 66 (Body: 231, Motor: 249, Accessory: 110)
00:28:40.842: Dealer 1: Auto 67 (Body: 239, Motor: 253, Accessory: 112)
00:28:40.843: Dealer 1: Auto 67 (Body: 239, Motor: 253, Accessory: 112)
00:28:41.688: Dealer 2: Auto 68 (Body: 233, Motor: 258, Accessory: 113)
00:28:41.690: Dealer 2: Auto 68 (Body: 233, Motor: 258, Accessory: 113)
00:28:41.730: Dealer 3: Auto 69 (Body: 235, Motor: 263, Accessory: 115)
00:28:41.733: Dealer 3: Auto 69 (Body: 235, Motor: 263, Accessory: 115)
00:28:41.849: Dealer 1: Auto 70 (Body: 237, Motor: 268, Accessory: 116)
00:28:41.852: Dealer 1: Auto 70 (Body: 237, Motor: 268, Accessory: 116)
00:28:42.691: Dealer 2: Auto 71 (Body: 241, Motor: 272, Accessory: 118)
00:28:42.695: Dealer 2: Auto 71 (Body: 241, Motor: 272, Accessory: 118)
00:28:42.740: Dealer 3: Auto 72 (Body: 243, Motor: 275, Accessory: 120)
00:28:42.741: Dealer 3: Auto 72 (Body: 243, Motor: 275, Accessory: 120)
00:28:42.858: Dealer 1: Auto 73 (Body: 245, Motor: 278, Accessory: 122)
00:28:42.860: Dealer 1: Auto 73 (Body: 245, Motor: 278, Accessory: 122)
00:28:43.698: Dealer 2: Auto 74 (Body: 247, Motor: 282, Accessory: 123)
00:28:43.703: Dealer 2: Auto 74 (Body: 247, Motor: 282, Accessory: 123)
00:28:43.746: Dealer 3: Auto 75 (Body: 250, Motor: 285, Accessory: 125)
00:28:43.748: Dealer 3: Auto 75 (Body: 250, Motor: 285, Accessory: 125)
00:28:43.865: Dealer 1: Auto 76 (Body: 274, Motor: 287, Accessory: 127)
00:28:43.873: Dealer 1: Auto 76 (Body: 274, Motor: 287, Accessory: 127)
00:28:44.706: Dealer 2: Auto 77 (Body: 277, Motor: 290, Accessory: 128)
00:28:44.709: Dealer 2: Auto 77 (Body: 277, Motor: 290, Accessory: 128)
00:28:44.753: Dealer 3: Auto 78 (Body: 254, Motor: 293, Accessory: 130)
00:28:44.757: Dealer 3: Auto 78 (Body: 254, Motor: 293, Accessory: 130)
00:28:44.876: Dealer 1: Auto 79 (Body: 280, Motor: 296, Accessory: 133)
00:28:44.878: Dealer 1: Auto 79 (Body: 280, Motor: 296, Accessory: 133)
00:28:45.711: Dealer 2: Auto 80 (Body: 259, Motor: 299, Accessory: 135)
00:28:45.726: Dealer 2: Auto 80 (Body: 259, Motor: 299, Accessory: 135)
00:28:45.763: Dealer 3: Auto 81 (Body: 264, Motor: 303, Accessory: 138)
00:28:45.765: Dealer 3: Auto 81 (Body: 264, Motor: 303, Accessory: 138)
00:28:45.884: Dealer 1: Auto 82 (Body: 269, Motor: 306, Accessory: 141)
00:28:45.889: Dealer 1: Auto 82 (Body: 269, Motor: 306, Accessory: 141)
00:28:46.734: Dealer 2: Auto 83 (Body: 283, Motor: 308, Accessory: 144)
00:28:46.738: Dealer 2: Auto 83 (Body: 283, Motor: 308, Accessory: 144)
00:28:46.771: Dealer 3: Auto 84 (Body: 286, Motor: 312, Accessory: 154)
00:28:46.774: Dealer 3: Auto 84 (Body: 286, Motor: 312, Accessory: 154)
00:28:46.890: Dealer 1: Auto 85 (Body: 289, Motor: 315, Accessory: 148)
00:28:46.897: Dealer 1: Auto 85 (Body: 289, Motor: 315, Accessory: 148)
00:28:47.741: Dealer 2: Auto 86 (Body: 292, Motor: 318, Accessory: 150)
00:28:47.749: Dealer 2: Auto 86 (Body: 292, Motor: 318, Accessory: 150)
00:28:47.780: Dealer 3: Auto 87 (Body: 295, Motor: 320, Accessory: 157)
00:28:47.782: Dealer 3: Auto 87 (Body: 295, Motor: 320, Accessory: 157)
00:28:47.903: Dealer 1: Auto 88 (Body: 298, Motor: 324, Accessory: 159)
00:28:47.905: Dealer 1: Auto 88 (Body: 298, Motor: 324, Accessory: 159)
00:28:48.754: Dealer 2: Auto 89 (Body: 301, Motor: 326, Accessory: 163)
00:28:48.755: Dealer 2: Auto 89 (Body: 301, Motor: 326, Accessory: 163)
00:28:48.791: Dealer 3: Auto 90 (Body: 304, Motor: 329, Accessory: 166)
00:28:48.792: Dealer 3: Auto 90 (Body: 304, Motor: 329, Accessory: 166)
00:28:48.912: Dealer 1: Auto 91 (Body: 307, Motor: 333, Accessory: 169)
00:28:48.914: Dealer 1: Auto 91 (Body: 307, Motor: 333, Accessory: 169)
00:28:49.761: Dealer 2: Auto 92 (Body: 310, Motor: 336, Accessory: 172)
00:28:49.764: Dealer 2: Auto 92 (Body: 310, Motor: 336, Accessory: 172)
00:28:49.797: Dealer 3: Auto 93 (Body: 313, Motor: 339, Accessory: 175)
00:28:49.801: Dealer 3: Auto 93 (Body: 313, Motor: 339, Accessory: 175)
00:28:49.919: Dealer 1: Auto 94 (Body: 316, Motor: 342, Accessory: 176)
00:28:49.925: Dealer 1: Auto 94 (Body: 316, Motor: 342, Accessory: 176)
00:28:50.768: Dealer 2: Auto 95 (Body: 319, Motor: 345, Accessory: 181)
00:28:50.775: Dealer 2: Auto 95 (Body: 319, Motor: 345, Accessory: 181)
00:28:50.804: Dealer 3: Auto 96 (Body: 322, Motor: 347, Accessory: 183)
00:28:50.806: Dealer 3: Auto 96 (Body: 322, Motor: 347, Accessory: 183)
00:28:50.930: Dealer 1: Auto 97 (Body: 325, Motor: 350, Accessory: 187)
00:28:50.939: Dealer 1: Auto 97 (Body: 325, Motor: 350, Accessory: 187)
00:28:51.782: Dealer 2: Auto 98 (Body: 337, Motor: 354, Accessory: 188)
00:28:51.788: Dealer 2: Auto 98 (Body: 337, Motor: 354, Accessory: 188)
00:28:51.812: Dealer 3: Auto 99 (Body: 328, Motor: 356, Accessory: 192)
00:28:51.815: Dealer 3: Auto 99 (Body: 328, Motor: 356, Accessory: 192)
00:28:51.943: Dealer 1: Auto 100 (Body: 331, Motor: 359, Accessory: 195)
00:28:51.949: Dealer 1: Auto 100 (Body: 331, Motor: 359, Accessory: 195)
00:28:52.792: Dealer 2: Auto 101 (Body: 349, Motor: 362, Accessory: 197)
00:28:52.798: Dealer 2: Auto 101 (Body: 349, Motor: 362, Accessory: 197)
00:28:52.820: Dealer 3: Auto 102 (Body: 334, Motor: 365, Accessory: 202)
00:28:52.822: Dealer 3: Auto 102 (Body: 334, Motor: 365, Accessory: 202)
00:28:52.954: Dealer 1: Auto 103 (Body: 340, Motor: 369, Accessory: 204)
00:28:52.957: Dealer 1: Auto 103 (Body: 340, Motor: 369, Accessory: 204)
00:28:53.804: Dealer 2: Auto 104 (Body: 343, Motor: 371, Accessory: 207)
00:28:53.809: Dealer 2: Auto 104 (Body: 343, Motor: 371, Accessory: 207)
00:28:53.832: Dealer 3: Auto 105 (Body: 346, Motor: 374, Accessory: 211)
00:28:53.834: Dealer 3: Auto 105 (Body: 346, Motor: 374, Accessory: 211)
00:28:53.962: Dealer 1: Auto 106 (Body: 352, Motor: 377, Accessory: 212)
00:28:53.965: Dealer 1: Auto 106 (Body: 352, Motor: 377, Accessory: 212)
00:28:54.815: Dealer 2: Auto 107 (Body: 355, Motor: 380, Accessory: 217)
00:28:54.819: Dealer 2: Auto 107 (Body: 355, Motor: 380, Accessory: 217)
00:28:54.839: Dealer 3: Auto 108 (Body: 358, Motor: 383, Accessory: 228)
00:28:54.841: Dealer 3: Auto 108 (Body: 358, Motor: 383, Accessory: 228)
00:28:54.972: Dealer 1: Auto 109 (Body: 361, Motor: 386, Accessory: 248)
00:28:54.974: Dealer 1: Auto 109 (Body: 361, Motor: 386, Accessory: 248)
00:28:55.860: Dealer 2: Auto 110 (Body: 364, Motor: 389, Accessory: 251)
00:28:55.860: Dealer 3: Auto 111 (Body: 367, Motor: 392, Accessory: 252)
00:28:55.940: Dealer 3: Auto 111 (Body: 367, Motor: 392, Accessory: 252)
00:28:55.940: Dealer 2: Auto 110 (Body: 364, Motor: 389, Accessory: 251)
00:28:55.980: Dealer 1: Auto 112 (Body: 370, Motor: 395, Accessory: 255)
00:28:55.985: Dealer 1: Auto 112 (Body: 370, Motor: 395, Accessory: 255)
00:28:56.951: Dealer 2: Auto 114 (Body: 376, Motor: 402, Accessory: 257)
00:28:56.943: Dealer 3: Auto 113 (Body: 373, Motor: 399, Accessory: 256)
00:28:57.007: Dealer 2: Auto 114 (Body: 376, Motor: 402, Accessory: 257)
00:28:57.007: Dealer 3: Auto 113 (Body: 373, Motor: 399, Accessory: 256)
00:28:56.991: Dealer 1: Auto 115 (Body: 385, Motor: 404, Accessory: 260)
00:28:57.011: Dealer 1: Auto 115 (Body: 385, Motor: 404, Accessory: 260)
00:28:58.022: Dealer 3: Auto 117 (Body: 382, Motor: 410, Accessory: 262)
00:28:58.022: Dealer 2: Auto 116 (Body: 379, Motor: 407, Accessory: 261)
00:28:58.022: Dealer 1: Auto 118 (Body: 388, Motor: 413, Accessory: 265)
00:28:58.130: Dealer 3: Auto 117 (Body: 382, Motor: 410, Accessory: 262)
00:28:58.131: Dealer 1: Auto 118 (Body: 388, Motor: 413, Accessory: 265)
00:28:58.130: Dealer 2: Auto 116 (Body: 379, Motor: 407, Accessory: 261)
00:28:59.139: Dealer 3: Auto 119 (Body: 391, Motor: 416, Accessory: 266)
00:28:59.139: Dealer 1: Auto 120 (Body: 394, Motor: 420, Accessory: 267)
00:28:59.139: Dealer 2: Auto 121 (Body: 397, Motor: 422, Accessory: 270)
00:28:59.168: Dealer 3: Auto 119 (Body: 391, Motor: 416, Accessory: 266)
00:28:59.169: Dealer 1: Auto 120 (Body: 394, Motor: 420, Accessory: 267)
00:28:59.168: Dealer 2: Auto 121 (Body: 397, Motor: 422, Accessory: 270)
00:29:00.194: Dealer 1: Auto 122 (Body: 400, Motor: 426, Accessory: 271)
00:29:00.194: Dealer 2: Auto 123 (Body: 403, Motor: 428, Accessory: 273)
00:29:00.194: Dealer 3: Auto 124 (Body: 406, Motor: 432, Accessory: 276)
00:29:00.234: Dealer 1: Auto 122 (Body: 400, Motor: 426, Accessory: 271)
00:29:00.234: Dealer 2: Auto 123 (Body: 403, Motor: 428, Accessory: 273)
00:29:00.234: Dealer 3: Auto 124 (Body: 406, Motor: 432, Accessory: 276)
00:29:01.243: Dealer 1: Auto 127 (Body: 415, Motor: 441, Accessory: 288)
00:29:01.243: Dealer 3: Auto 126 (Body: 412, Motor: 437, Accessory: 281)
00:29:01.243: Dealer 2: Auto 125 (Body: 409, Motor: 435, Accessory: 279)
00:29:01.268: Dealer 2: Auto 125 (Body: 409, Motor: 435, Accessory: 279)
00:29:01.267: Dealer 3: Auto 126 (Body: 412, Motor: 437, Accessory: 281)
00:29:01.267: Dealer 1: Auto 127 (Body: 415, Motor: 441, Accessory: 288)
00:29:02.274: Dealer 2: Auto 129 (Body: 433, Motor: 447, Accessory: 291)
00:29:02.274: Dealer 1: Auto 128 (Body: 418, Motor: 443, Accessory: 284)
00:29:02.376: Dealer 1: Auto 128 (Body: 418, Motor: 443, Accessory: 284)
00:29:02.374: Dealer 2: Auto 129 (Body: 433, Motor: 447, Accessory: 291)
00:29:02.274: Dealer 3: Auto 130 (Body: 421, Motor: 449, Accessory: 294)
00:29:02.390: Dealer 3: Auto 130 (Body: 421, Motor: 449, Accessory: 294)
00:29:03.383: Dealer 2: Auto 131 (Body: 427, Motor: 452, Accessory: 297)
00:29:03.385: Dealer 1: Auto 132 (Body: 424, Motor: 455, Accessory: 300)
00:29:03.399: Dealer 2: Auto 131 (Body: 427, Motor: 452, Accessory: 297)
00:29:03.400: Dealer 1: Auto 132 (Body: 424, Motor: 455, Accessory: 300)
00:29:03.399: Dealer 3: Auto 133 (Body: 430, Motor: 459, Accessory: 302)
00:29:03.402: Dealer 3: Auto 133 (Body: 430, Motor: 459, Accessory: 302)
00:29:04.404: Dealer 3: Auto 134 (Body: 436, Motor: 461, Accessory: 305)
00:29:04.406: Dealer 2: Auto 135 (Body: 439, Motor: 464, Accessory: 309)
00:29:04.406: Dealer 1: Auto 136 (Body: 442, Motor: 468, Accessory: 311)
00:29:04.411: Dealer 2: Auto 135 (Body: 439, Motor: 464, Accessory: 309)
00:29:04.410: Dealer 3: Auto 134 (Body: 436, Motor: 461, Accessory: 305)
00:29:04.411: Dealer 1: Auto 136 (Body: 442, Motor: 468, Accessory: 311)
00:29:05.416: Dealer 3: Auto 139 (Body: 451, Motor: 476, Accessory: 321)
00:29:05.417: Dealer 2: Auto 137 (Body: 445, Motor: 471, Accessory: 314)
00:29:05.416: Dealer 1: Auto 140 (Body: 454, Motor: 478, Accessory: 323)
00:29:05.419: Dealer 1: Auto 140 (Body: 454, Motor: 478, Accessory: 323)
00:29:05.419: Dealer 3: Auto 139 (Body: 451, Motor: 476, Accessory: 321)
00:29:05.419: Dealer 2: Auto 137 (Body: 445, Motor: 471, Accessory: 314)
00:29:06.426: Dealer 2: Auto 138 (Body: 448, Motor: 474, Accessory: 317)
00:29:06.426: Dealer 3: Auto 141 (Body: 457, Motor: 480, Accessory: 327)
00:29:06.426: Dealer 1: Auto 146 (Body: 472, Motor: 492, Accessory: 341)
00:29:06.454: Dealer 2: Auto 138 (Body: 448, Motor: 474, Accessory: 317)
00:29:06.454: Dealer 3: Auto 141 (Body: 457, Motor: 480, Accessory: 327)
00:29:06.454: Dealer 1: Auto 146 (Body: 472, Motor: 492, Accessory: 341)
00:29:07.720: Dealer 1: Auto 145 (Body: 469, Motor: 488, Accessory: 338)
00:29:07.720: Dealer 3: Auto 143 (Body: 463, Motor: 484, Accessory: 332)
00:29:07.777: Dealer 3: Auto 143 (Body: 463, Motor: 484, Accessory: 332)
00:29:07.776: Dealer 1: Auto 145 (Body: 469, Motor: 488, Accessory: 338)
00:29:07.720: Dealer 2: Auto 142 (Body: 460, Motor: 482, Accessory: 330)
00:29:07.784: Dealer 2: Auto 142 (Body: 460, Motor: 482, Accessory: 330)
00:29:08.784: Dealer 3: Auto 144 (Body: 466, Motor: 486, Accessory: 335)
00:29:08.784: Dealer 1: Auto 149 (Body: 479, Motor: 499, Accessory: 351)
00:29:08.787: Dealer 2: Auto 148 (Body: 477, Motor: 497, Accessory: 348)
00:29:08.807: Dealer 3: Auto 144 (Body: 466, Motor: 486, Accessory: 335)
00:29:08.808: Dealer 2: Auto 148 (Body: 477, Motor: 497, Accessory: 348)
00:29:08.808: Dealer 1: Auto 149 (Body: 479, Motor: 499, Accessory: 351)
00:29:09.820: Dealer 2: Auto 153 (Body: 487, Motor: 507, Accessory: 363)
00:29:09.820: Dealer 1: Auto 147 (Body: 475, Motor: 495, Accessory: 344)
00:29:09.820: Dealer 3: Auto 155 (Body: 493, Motor: 511, Accessory: 368)
00:29:09.843: Dealer 1: Auto 147 (Body: 475, Motor: 495, Accessory: 344)
00:29:09.843: Dealer 2: Auto 153 (Body: 487, Motor: 507, Accessory: 363)
00:29:09.843: Dealer 3: Auto 155 (Body: 493, Motor: 511, Accessory: 368)
00:29:10.851: Dealer 2: Auto 151 (Body: 483, Motor: 503, Accessory: 357)
00:29:10.851: Dealer 1: Auto 150 (Body: 481, Motor: 501, Accessory: 353)
00:29:10.851: Dealer 3: Auto 154 (Body: 490, Motor: 509, Accessory: 366)
00:29:10.869: Dealer 3: Auto 154 (Body: 490, Motor: 509, Accessory: 366)
